Short_Window,Long_Window,Cumulative_Returns,Max_Drawdown,Sharpe_Ratio
5,20,1.6085905009466597,-0.20274738146052074,1.0842116995205766
5,25,1.4368016215740493,-0.2114046523884453,0.8454364962032206
5,30,1.5615612692207865,-0.2259055333883725,1.0449503918983212
5,35,1.561789890011898,-0.2097753561009138,1.0458533952632458
5,40,1.3862044341842616,-0.24343276992732077,0.7978749880815916
5,45,1.2666850253434365,-0.24953714478639755,0.5852741068302869
5,50,1.3403315572178616,-0.16955188082207673,0.7286417618172714
5,55,1.2828356042915596,-0.20586417001023194,0.6129733247617875
5,60,1.1817765377388978,-0.2480717642855338,0.4230982270174663
5,65,1.1990704763565594,-0.23628229108935073,0.4597343027038501
5,70,1.19304464857589,-0.2508407384673226,0.44796602657035317
5,75,1.2183024711561696,-0.26521828708588724,0.49943240539438744
5,80,1.2932628962658665,-0.20609333329604873,0.6433838455554242
5,85,1.4216371721675016,-0.15073076825602838,0.8580869557122368
5,90,1.3837103281999932,-0.1604245866255647,0.7961311284306568
5,95,1.4263841499298997,-0.15879969913658998,0.8617648404124291
5,100,1.438688328028359,-0.18558221456491275,0.8742477108018631
10,20,1.2486719961934536,-0.2791676607447281,0.5246566782462442
10,25,1.336008016155031,-0.23585184524895342,0.6572309456460722
10,30,1.2739667590476136,-0.23833466507168233,0.5713732916389336
10,35,1.0946662515717989,-0.3246997344472412,0.24231042814981107
10,40,1.2248015435550361,-0.238871928537434,0.5060880656763054
10,45,1.369116458259291,-0.19333806970280898,0.7810145200197198
10,50,1.2528181316316171,-0.22463316268132338,0.5698910954019595
10,55,1.2255131154290861,-0.24833709673204463,0.5087009455072322
10,60,1.206819936231787,-0.27394696474197366,0.4712293926211154
10,65,1.2025765805883466,-0.2751815299143372,0.4514680209246465
10,70,1.3080384635181594,-0.19271363176435674,0.6492811537035149
10,75,1.3193631728734219,-0.15978542650772842,0.6716414542471008
10,80,1.2816283930403831,-0.1781864996739827,0.6102814001413164
10,85,1.2828260478681712,-0.1991685188860305,0.6135767782398561
10,90,1.250482398669996,-0.24899427710955113,0.5532208253185232
10,95,1.1705902347854364,-0.28866646764969184,0.401060612955387
10,100,1.2132197336501025,-0.29224938148607427,0.4813426922361755
15,20,1.526550774110986,-0.2347411508581747,0.9334712482086379
15,25,1.4418486922790752,-0.24970572640356847,0.8442559194598851
15,30,1.2870832535538683,-0.25251431209664343,0.589197029965529
15,35,1.326949587794518,-0.241549768575676,0.6670355680020074
15,40,1.2269280609089692,-0.25242212538709885,0.517592069555044
15,45,1.1591122987192495,-0.2572971536542831,0.3775507133746532
15,50,1.240582856306952,-0.21327691641353563,0.5405270737209841
15,55,1.1211720213211267,-0.2624428159906227,0.29631363896566854
15,60,1.1262328546183646,-0.25755212389647597,0.30880630878300475
15,65,1.0911427378520349,-0.28393884133148384,0.23458053808756585
15,70,1.1508357302512637,-0.25903347288031386,0.3576104555332438
15,75,1.0473643845020029,-0.32376178018476653,0.1412514112444603
15,80,1.0288912403575254,-0.33427517410184737,0.10108073813524013
15,85,1.071994474628095,-0.3386754256293065,0.1943830467533336
15,90,1.0902536397434701,-0.3526689550803589,0.23368093697209594
15,95,1.1086005718230683,-0.328513745737118,0.27237264240165726
15,100,1.214865023099895,-0.28854686567816024,0.48071807209442957
20,25,1.1440033003145893,-0.22089761343161018,0.33558875534751365
20,30,1.1536468353956824,-0.22432044002044593,0.3552942947720245
20,35,1.0354039843256158,-0.2838663991249285,0.11699798564065943
20,40,1.118335408256691,-0.24974610822903187,0.2898536376317515
20,45,1.066914550187871,-0.2921705256388404,0.18344070939479898
20,50,1.0583289226095747,-0.29093519614920704,0.165080528667499
20,55,1.0818084149492073,-0.26458044214937937,0.21474251857658122
20,60,1.1825220065034074,-0.2100283998466307,0.4185791730835838
20,65,1.0838842074114554,-0.24803953287639036,0.21937335527146434
20,70,1.0998426551956946,-0.2517991780438571,0.25282063586841763
20,75,1.0493058101381205,-0.2997274618730418,0.14573172881575322
20,80,1.0933686300836445,-0.30236360936669715,0.23867824243012234
20,85,1.0916903314485569,-0.3136364163325476,0.23621742448689925
20,90,1.1060841896078009,-0.3343863874730648,0.26691561340238906
20,95,1.1282193972593557,-0.33000480128430987,0.31201754419088473
20,100,1.1080144423588187,-0.35381161929661187,0.2699743877603513
